,Movie_Name,Release_Yr,Movie_Rating,Duration,IMDb_Rating,Popularity,Genre,Movie_Desc,Director,Writers,Movie_stars,Oscars_Won,Awards_Won,Nominations
235,My Father and My Son,2005,Not Rated,1h 52m,8.2,0,"Drama
Family",The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Çağan Irmak,['Çağan Irmak'],"['Çetin Tekindor', 'Fikret Kuşkan', 'Hümeyra']",0,0,0
236,The Sound of Music,1965,G,2h 52m,8.1,71298,"Biography, Drama, Family",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,"['Georg Hurdalek', 'Howard Lindsay', 'Russel Crouse']","['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']",5,0,0
237,The Battle of Algiers,1966,Not Rated,2h 1m,8.1,66K,"['Drama', 'War']","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,"['Franco Solinas', 'Gillo Pontecorvo']","['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi']",3,0,0
238,The Grapes of Wrath,1940,Passed,2h 9m,8.1,100K,Drama,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford,"['Nunnally Johnson', 'John Steinbeck']","['Henry Fonda', 'Jane Darwell', 'John Carradine']",2,0,0
239,To Be or Not to Be,1942,,1h 39m,8.1,0,"Comedy
Romance
War","During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,"['Melchior Lengyel', 'Edwin Justus Mayer', 'Ernst Lubitsch']","['Carole Lombard', 'Jack Benny', 'Robert Stack']",1,0,0
240,Groundhog Day,1993,PG,1h 41m,8.0,"1,00865",ComedyDramaFantasy,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",Harold Ramis,"['Danny Rubin', 'Harold Ramis']","['Bill Murray', 'Andie MacDowell', 'Chris Elliott']",1,0,0
241,Amores Perros,2000,R,2h 34m,8.1,"2,133","Drama, Thriller","An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",Alejandro G. Iñárritu,['Guillermo Arriaga'],"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo']",1,0,0
243,Cool Hand Luke,1967,GP,2h 7m,8.1,"1,852","Crime
Drama","A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,"['Donn Pearce', 'Frank Pierson', 'Hal Dresner']","['Paul Newman', 'George Kennedy', 'Strother Martin']",1,0,0
244,The Iron Giant,1999,PG,1h 26m,8.1,"2,231","['Animation', 'Action', 'Adventure']",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,"['Tim McCanlies', 'Brad Bird', 'Ted Hughes']","['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel', 'James Gammon', 'Cloris Leachman', 'Christopher McDonald', 'John Mahoney', 'M. Emmet Walsh', 'Jack Angel', 'Bob Bergen', 'Mary Kay Bergman', 'Michael Bird', 'Devon Cole Borisoff', 'Rodger Bumpass', 'Robert Clotworthy', 'Jennifer Darling', 'Zack Eginton']",0,0,0
245,The Help,2011,PG-13,2h 26m,8.1,61495,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,"['Tate Taylor', 'Kathryn Stockett']","['Viola Davis', 'Emma Stone', 'Octavia Spencer']",1,0,0
246,It Happened One Night,1934,Passed,1h 45m,8.1,"4,030",ComedyRomance,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin...",Frank Capra,"['Robert Riskin', 'Samuel Hopkins Adams']","['Clark Gable', 'Claudette Colbert', 'Walter Connolly']",5,0,0
247,Aladdin,1992,G,1h 30m,8.0,"1,216","Animation, Adventure, Comedy",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Ron Clements, John Musker","['Ron Clements', 'John Musker', 'Ted Elliott']","['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Frank Welker', 'Gilbert Gottfried', 'Douglas Seale', 'Charlie Adler', 'Jack Angel', 'Corey Burton', 'Philip L. Clarke', 'Jim Cummings', 'Jennifer Darling', 'Debi Derryberry', 'Bruce Gooch', 'Jerry Houser', 'Vera Lockwood', 'Sherry Lynn']",2,0,0
248,Dances with Wolves,1990,PG-13,3h 1m,8.0,"1,108,405","Adventure, Drama, Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighboring Sioux settlement, causing him to question his own purpose.",Kevin Costner,['Michael Blake'],"['Kevin Costner', 'Mary McDonnell', 'Graham Greene']",7,0,0
249,Drishyam,2015,Not Rated,2h 43m,8.2,94K,"Crime, Drama, Mystery","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,"['Jeethu Joseph', 'Upendra Sidhaye']","['Ajay Devgn', 'Shriya Saran', 'Tabu']",0,0,0
